Deutsch;Englisch
das Schaf;the sheep
der Zoo;the zoo
die Pflanze;the plant
der Strauch;the bush
der Flieder;the lilac
die Blume;the flower
die Rose;the rose
die Lilie;the lily
der Baum;the tree
die Landschaft;the landscape
der Berg;the mountain
das Gebirge;the mountains
das Tal;the valley
der Fluss;the river
der See;the lake
der Bach;the creek
der Wald;the forest
die Wiese;the meadow
das Feld;the field
der Park;the park
die Wüste;the desert
die Insel;the island
das Meer;the ocean
der Blick;the view
der Stock;the stick
die Welt;the world
In welche Himmelsrichtung soll ich gehen.;In which direction shall I go?
Du musst nach Norden schauen.;You have to look to the north.
Im Westen geht die Sonne unter.;The sun goes down in the west.
Im Osten geht die Sonne auf.;The sun rises in the east.
Wir fahren in den Süden.;We drive south.
Der Himmer ist blau.;The sky is blue.
Es sind keine Wolken am Himmel.;There are no clouds at the sky.
Der Mond scheint sehr hell.;The moon shines brightly.
Ich habe alle Sterne gezählt.;I have counted all the stars.
Ist die Erde ein Planet?;Is the earth a planet?
Wir brauchen unsere Erde.;We need our earth.
Weißt du wie das Wetter morgen wird?;Do you know what the weather will be like tomorrow?
Die Sonne scheint den ganzen Tag.;The sun shines the whole day.
Wann kommt endlich wieder Regen?;When will the rain finally come again?
Bei dem vielen Nebel kann ich nichts sehen.;With so much fog I can see nothing.
Der Schnee liegt zwei Meter hoch.;The snow is two meters high.
Heute ist starker Wind.;Today is strong wind.
Sehr starken Wind nennt man Sturm.;Very strong wind is called a storm.
Da kommt ein Gewitter.;There is a thunderstorm coming.
Hast du den Blitz gesehen.;Have you seen the lightning?
Wenn der Hagel kommt gehen wir ins Haus.;When the hail comes we go into the house.
Im Winter wird Wasser zu Eis.;In winter water becomes ice.
Die Luft ist sehr trocken.;The air is very dry.
Ich brauche nur einen Tropen Wasser.;I just need a drop of water.
Hast du deinen Regenschirm dabei?;Do you have your umbrella with you?
Schauen sie sich die Wolke an.;Look at the clouds.
Wer gießt die Blumen?;Who pours the flowers?
Heute wird es sehr heiß.;It is very hot today.
Nach dem Regen war meine Kleidung nass.;My clothes were wet after the rain.
Heute scheint die Sonne den ganzen Tag.;Today the sun is shining the whole day.
Ich mag keine Tiere.;I dont like animals.
Vögel sind schöne Tiere.;Birds are beautiful animals.
Ich esse viel Fisch.;I eat a lot of fish.
Ich mag keine Insekten.;I dont like insects.
Mein Sohn spielt mit unserem Hund.;My son is playing with our dog.
Unsere Katze isst ihr Essen.;Our cat is eating her food.
Ich darf kein Schwein essen.;I am not allowed to eat pig.
Die Kuh gibt Milch.;The cow gives milk.
Der Bauer hat viele Schafe.;The farmer has many sheep.
Im Zoo sieht man viele Tiere.;You see a lot of animals in the zoo.
Wir haben viele Pflanzen in unserem Garten.;We have many plants in our garden.
Der alte Mann schneidet den Strauch.;The old man is cutting the bush.
Der Flieder steht hinten im Garten.;The lilac stands in the back of the garden.
In diesem Geschäft kann man Blumen kaufen.;In this store you can buy flowers.
Mein Mann hat mir eine rote Rose gegeben.;My husband has given me a red rose.
Die Lilie ist eine schöne Blume.;The lily is a beautiful flower.
Im Wald sind viele Bäume.;There are a lot of trees in the forest.
Eine Landschaft ohne Wald ist langweilig.;A landscape without a forest is boring.
Der Berg ist zu hoch für uns.;The mountain is too high for us.
Viele Berge sind ein Gebirge.;Many mountains are the mountains.
Ein Tal liegt zwischen zwei Bergen.;A valley lies between two mountains.
Ich schwimme durch den Fluß.;I swim through the river.
Wir können im See baden.;We can bathe in the sea.
Ein Bach ist ein sehr kleiner Fluß.;A creek is a very small river.
Wir machen einen Spaziergang im Wald.;We go for a walk in the forest.
Die Kinder laufen über die Wiese.;The children run over the meadow.
Auf dem Feld sind viele Kartoffeln.;There are many potatoes on the field.
Im Park kann man schöne Blumen sehen.;You can see beautiful flowers in the park.
In der Wüste ist viel Sand.;There is a lot of sand in the dessert.
Ich bin allein auf einer Insel.;I am alone on an island.
Das Meer ist sehr groß.;The ocean is very big.
Werfen sie auch einen Blick auf das Bild.;Also throw a glance on the picture.
Der Mann wirft einen Stock für seinen Hund.;The man throws a stick for his dog.
Die ganze Welt lacht über dich.;The whole world is laughing about you.
das Land;the land
der Kontinent;the continent
Europa;europe
Deutschland;Germany
die Schweiz;Switzerland
Österreich;Austria
Belgien;Belgium
die Niederlande;netherlands
die Nationalität;the nationality
das Visum;the visa
Großbritannien;britain
England;england
Frankreich;France
Italien;italy
Spanien;spain
die Türkei;turkey
Russland;russia
Albanien;albania
Serbien;Serbia
der Iran;the iran
Palästina;palestine
Syrien;the syrian
Tschetschenien;Chechnya
Afghanistan;afghanistan
Somalia;somalia
Pakistan;pakistan
Indien;india
der Europäer/ die Europäerin;the european
der Deutsche/ die Deutsche;The German
der Österreicher/ die Österreicherin;the Austrian
der Schweizer/ die Schweizerin;A swiss person
der Belgier/ die Belgierin;A belgian
der Niederländer/ die Niederländerin;the dutch
der Brite/ die Britin;the british
der Engländer/ die Engländerin;the english
der Franzose/ die Französin;the french
der Spanier/ die Spanierin;the spanish
der Italiener/ die Italienerin;the italian
der Türke/ die Türkin;the turk
der Russe/ die Russin;the russian
der Albaner/ die Albanerin;the albanian
der Serbe/ die Serbin;the serbian
der Iraner/ die Iranerin;the iranian
der Palästinenser/ die Palästinenserin;the palestinian
der Syrer/ die Syrerin;syria
der Tschetschene/ die Tschetschenin;the chechen
der Afghane/ die Afghanin;the afghan
der Somalier/ die Somalierin;the somalian
der Pakistani/ die Pakistani;the pakistani
der Inder/ die Inderin;the indian
europäisch;european
deutsch;German
österreichisch;Austrian
schweizer;swiss
belgisch;belgian
niederländisch;dutch
britisch;british
englisch;english
französisch;french
italienisch;italian
spanisch;spanish
türkisch;turkish
russisch;russian
albanisch;albanian
serbisch;serbian
iranisch;iranian
palästinensisch;palestinian
syrisch;syrian
tschetschenisch;chechen
afghanisch;afghan
somalisch;somalian
pakistanisch;pakistani
indisch;indian
international;international
Aus welchem Land kommst du?;Which country are you from?
Auf welchem Kontinent liegt Deutschland?;On which continent lies Germany?
Deutschland ist ein Land in Europa.;Germany is a country in europe.
Die Schweiz liegt neben Deutschland.;Switzerland lies next to Germany.
Österreich ist ein Nachbar von Deutschland.;Austria is a neighbour of Germany.
In Belgien spricht man kein deutsch.;In Belgium German is not spoken.
In den Niederlanden wird kein deutsch gesprochen.;In the netherlands German is not being spoken.
Hier sind Menschen mit verschiedener Nationalität.;Here are people with different nationalities.
Ich brauche ein Visum um hier zu arbeiten.;I need a visa to work here.
In Großbritannien gibt es viel Regen.;There is a lot of rain in great britain.
Die Hauptstadt von England ist London.;The capital of england is london.
In Frankreich essen die Menschen sehr lange.;In France people take a lot of time to eat.
In Italien gibt es immer Pizza.;In italy there is always pizza.
In Spanien ist es sehr heiß.;It is very hot in spain.
In Deutschland wohnen viele Menschen aus der Türkei.;In Germany live many people from Turkey.
In Russland spricht man russisch.;In Russia russian is spoken.
Ich komme aus Albanien.;I come from Albania.
Ich komme nicht aus Serbien.;I dont come from Serbia.
Wer kommt hier aus dem Iran?;Who comes from Iran?
In Palästina gibt es gutes Essen.;There is good food in palestine.
Ich möchte nicht nach Syrien zurück.;I dont want to go back to syria.
Tschetschenien liegt in Russland.;Chechnya lies in Russia.
Afghanistan liegt nicht in Europa.;Afghanistan doesnt lie in Europe.
Die Frauen kommen aus Somalien.;The Women are from Somalia.
In Pakistan kann man nicht mit Euros bezahlen.;In Pakistan you can not pay with euros.
In Indien sprechen viele Menschen englisch.;In India many people speak english.
Die Europäer sind sehr reich.;The Europeans are very rich.
Ich mag die Deutschen.;I like the Germans.
Ich mag die Österreicher nicht.;I dont like the austrians.
Die Schweizer machen viel Schokolade.;The swiss make a lot of chocolate.
Der Belgier isst gerne Pommes Frites.;The Belgian likes french fries.
Der Niederländer isst gerne Käse.;The Dutch likes to eat cheese.
Der Brite spielt schlecht Fußball.;The British is bad in soccer.
Die Engländer wohnen auf einer Insel.;The English live on an island.
Der Franzose reist gerne.;The French likes to travel.
Die Spanier sind gut im Fußball.;The spanish are good in soccer.
Die Italiener kochen gut.;The Italians cook very well.
Die Türken können gut tanzen.;The turkish dance very well.
Viele Russen spielen gut Schach.;Many Russians play chess well.
Ich bin kein Albaner.;I am not an Albanian.
Die Serben sind Europäer.;The Serbians are Europeans.
Ich kenne viele Iraner.;I know many Iranians.
Er kennt keine Palästinenser.;He knows no palestinians.
In meiner Firma arbeitet ein Syrer.;In my company works a Syrian.
Meine Mutter ist Tschetschenin.;My mother is chechen.
Die Afghanen sind gut in der Schule.;The afghans are very good in school.
Die Somalierinnen möchten deutsch lernen.;The Somalis want to learn German.
Die Pakistanis gehen zum Bahnhof.;The pakistanis go to the train station.
Der Inder verkauft gute Computer.;The Indian sells good Computers.
Du siehst europäisch aus.;You look european.
Das ist sehr deutsch.;That is very german.
Ich spreche österreichisch.;I speak austrian.
Das ist schweizer Schokolade.;That is Swiss chocolate.
Das ist ein belgisches Wort.;That is a belgian word.
Ich esse gerne niederländischen Käse.;I like to eat dutch cheese.
Das ist eine britische Firma.;That is a british company.
Ich spreche kein Englisch.;I speak no english.
Ich verstehe leider kein französisch.;Unfortunately I dont understand French.
Das italienische Essen schmeckt sehr gut.;The Italian food tastes very good.
Die spanischen Weine sind die besten.;The Spanish vines are the best.
Ich habe einen türkischen Mann.;I have a Turkish man.
Das ist ein deutsch russisches Wörterbuch.;That is a German Russian dictionary.
Was heißt das auf albanisch?;What does that mean in Albanian?
Wir lernen serbisch in der Schule.;We learn Serbian in school.
Ich glaube das ist iranisch.;I believe that is Iranian.
Das sind palästinensische Frauen.;That are Palestinian women.
Das ist syrisches Obst.;These are Syrian fruits.
Sprichst du tschetschenisch?;Do you speak Chechen?
Die afghanischen Menschen sind sehr freundlich.;The afghan people are very friendly.
Was heißt Käse auf somalisch?;What does cheese mean in Somali?
Das pakistanische Essen ist sehr scharf.;The Pakistan food is very hot.
Die indischen Männer arbeiten sehr viel.;The Indian men work a lot.
Deutschland ist sehr international.;Germany is very international.
